Title,NSE NAME
Poddar Housing and Development Ltd.,"NSE: PODDARHOUS
                        
                        
                            |
                            BSE: 523628"
Sikozy Realtors Ltd.,"BSE: 524642
                        
                        
                        

                        
    |

GSM"
Manor Estates & Industries Ltd.,"BSE: 526115
                        
                        
                        

                        
    |

GSM"
Shervani Industrial Syndicate Ltd.,BSE: 526117
Hampton Sky Realty Ltd.,BSE: 526407
Sterling Greenwoods Ltd.,BSE: 526500
Square Four Projects India Ltd.,BSE: 526532
Thakker's Developers Ltd.,"BSE: 526654
                        
                        
                        

                        

    |

ASM"
Garnet Construction Ltd.,BSE: 526727
Raghunath International Ltd.,BSE: 526813
Rajeswari Infrastructure Ltd.,"BSE: 526823
                        
                        
                        

                        
    |

GSM"
Gyan Developers & Builders Ltd.,BSE: 530141
Supreme Holdings & Hospitality (India) Ltd.,BSE: 530677
Prime Property Development Corporation Ltd.,BSE: 530695
Anna Infrastructures Ltd.,BSE: 530799
SSPDL Ltd.,"BSE: 530821
                        
                        
                        

                        
    |

GSM"
Asia Pack Ltd.,BSE: 530899
Shri Krishna Devcon Ltd.,BSE: 531080
Gothi Plascon (India) Ltd.,BSE: 531111
Ceenik Exports (India) Ltd.,"BSE: 531119
                        
                        
                        

                        
    |

GSM"
EPSOM Properties Ltd.,"BSE: 531155
                        
                        
                        

                        
    |

GSM"
Rander Corporation Ltd.,BSE: 531228
Radhe Developers (India) Ltd.,BSE: 531273
Roselabs Finance Ltd.,BSE: 531324
Kretto Syscon Ltd.,"BSE: 531328
                        
                        
                        

                        
    |

GSM
        

|

ASM"
Narendra Properties Ltd.,BSE: 531416
Navkar Urbanstructure Ltd.,BSE: 531494
RTCL Ltd.,"BSE: 531552
                        
                        
                        

                        
    |

GSM"
Vas Infrastructure Ltd.,"BSE: 531574
                        
                        
                        

                        
    |

GSM"
KMF Builders & Developers Ltd.,BSE: 531578
Rap Media Ltd.,"BSE: 531583
                        
                        
                        

                        
    |

GSM
        

|

ASM"
Rainbow Foundations Ltd.,BSE: 531694
Shraddha Prime Projects Ltd.,BSE: 531771
Prerna Infrabuild Ltd.,BSE: 531802
Tirupati Sarjan Ltd.,BSE: 531814
Rodium Realty Ltd.,BSE: 531822
Popular Estate Management Ltd.,"BSE: 531870
                        
                        
                        

                        

    |

ASM"
Croissance Ltd.,"BSE: 531909
                        
                        
                        

                        
    |

GSM"
IITL Projects Ltd.,BSE: 531968
TCI Industries Ltd.,BSE: 532262
HB Estate Developers Ltd.,BSE: 532334
Genus Prime Infra Ltd.,BSE: 532425
MPDL Ltd.,BSE: 532723
RDB Realty & Infrastructure Ltd.,BSE: 533285
Maxheights Infrastructure Ltd.,"BSE: 534338
                        
                        
                        

                        

    |

ASM"
SV Global Mill Ltd.,BSE: 535621
Unishire Urban Infra Ltd.,"BSE: 537582
                        
                        
                        

                        

    |

ASM"
ETT Ltd.,BSE: 537707
Bhanderi Infracon Ltd.,BSE: 538576
Quantum Build-Tech Ltd.,"BSE: 538596
                        
                        
                        

                        
    |

GSM"
Crane Infrastructure Ltd.,"BSE: 538770
                        
                        
                        

                        

    |

ASM"
Jet Infraventure Ltd.,"BSE: 538794
                        
                        
                        

                        

    |

ASM"
Purohit Construction Ltd.,"BSE: 538993
                        
                        
                        

                        
    |

GSM"
AGI Infra Ltd.,BSE: 539042
Athena Constructions Ltd.,"BSE: 539099
                        
                        
                        

                        

    |

ASM"
Adhbhut Infrastructure Ltd.,BSE: 539189
Decorous Investment & Trading Co. Ltd.,BSE: 539405
Generic Engineering Construction and Projects Ltd.,"NSE: GENCON
                        
                        
                            |
                            BSE: 539407"
Grovy India Ltd.,"BSE: 539522
                        
                        
                        

                        

    |

ASM"
Abhishek Infraventures Ltd.,BSE: 539544
Sharanam Infraproject and Trading Ltd.,"BSE: 539584
                        
                        
                        

                        
    |

GSM"
R J Shah & Company Ltd.,BSE: 509845
Ladam Affordable Housing Ltd.,"BSE: 540026
                        
                        
                        

                        

    |

ASM"
Patidar Buildcon Ltd.,"BSE: 524031
                        
                        
                        

                        
    |

GSM"
KBC Global Ltd.,"NSE: KBCGLOBAL
                        
                        
                            |
                            BSE: 541161"
Trescon Ltd.,BSE: 532159
Sanathnagar Enterprises Ltd.,BSE: 509423
Ratnabhumi Developers Ltd.,BSE: 540796
Gallops Enterprise Ltd.,"BSE: 531902
                        
                        
                        

                        
    |

GSM"
Gujarat Credit Corporation Ltd.,"BSE: 511441
                        
                        
                        

                        
    |

GSM"
National Standard (India) Ltd.,BSE: 504882
Shradha Infraprojects Ltd.,NSE: SHRADHA
Pansari Developers Ltd.,NSE: PANSARI
ART Nirman Ltd.,NSE: ARTNIRMAN
Sumit Woods Ltd.,NSE: SUMIT
Vivid Mercantile Ltd.,BSE: 542046
Shree Krishna Infrastructure Ltd.,BSE: 542146
Nila Spaces Ltd.,"NSE: NILASPACES
                        
                        
                            |
                            BSE: 542231"
Mahesh Developers Ltd.,"BSE: 542677
                        
                        
                        

                        
    |

GSM"
Suratwwala Business Group Ltd.,BSE: 543218
Atal Realtech Ltd.,"NSE: ATALREAL
                        
                        
                            |
                            BSE: 543911"
Veer Global Infraconstruction Ltd.,BSE: 543241
Hemisphere Properties India Ltd.,"NSE: HEMIPROP
                        
                        
                            |
                            BSE: 543242"
TARC Ltd.,"NSE: TARC
                        
                        
                            |
                            BSE: 543249"
Ravinder Heights Ltd.,"NSE: RVHL
                        
                        
                            |
                            BSE: 543251"
Macrotech Developers Ltd.,"NSE: LODHA
                        
                        
                            |
                            BSE: 543287"
SBL Infratech Ltd.,"BSE: 543366
                        
                        
                        

                        
    |

GSM"
Samor Reality Ltd.,BSE: 543376
Shriram Properties Ltd.,"NSE: SHRIRAMPPS
                        
                        
                            |
                            BSE: 543419"
Modis Navnirman Ltd.,BSE: 543539
B-Right Realestate Ltd.,BSE: 543543
Kesar India Ltd.,"BSE: 543542
                        
                        
                        

                        

    |

ASM"
Shantidoot Infra Services Ltd.,BSE: 543598
Keystone Realtors Ltd.,"NSE: RUSTOMJEE
                        
                        
                            |
                            BSE: 543669"
Homesfy Realty Ltd.,NSE: HOMESFY
SVS Ventures Ltd.,BSE: 543745
BEML Land Assets Ltd.,"NSE: BLAL
                        
                        
                            |
                            BSE: 543898"
Transindia Real Estate Ltd.,BSE: 543955
Signatureglobal (India) Ltd.,"NSE: SIGNATURE
                        
                        
                            |
                            BSE: 543990"
Max Estates Ltd.,"NSE: MAXESTATES
                        
                        
                            |
                            BSE: 544008"
Suraj Estate Developers Ltd.,"NSE: SURAJEST
                        
                        
                            |
                            BSE: 544054"
V R Infraspace Ltd.,NSE: VR
Shipping Corporation of India Land And Assets Ltd.,"NSE: SCILAL
                        
                        
                            |
                            BSE: 544142"
